Artist,Song,PlatinumGoldFlag
Bad Meets Evil & Eminem & Royce,Scary Movies,0
Badmarsh & Shri,Signs,0
Bagdad Cafe The Trench Town,Everything,0
Baha Men,La Bamba,0
Bananarama,Look On the Floor (Hypnotic Tango),0
Bananarama,Love Comes,0
Bananarama,Move in My Direction,0
Band Aid 20,Do They Know It's Christmas?,0
Band Aid 30,Do They Know It's Christmas?,0
Bangtan Boys,For You,0
Barbados,Secret,0
Barbados,The Power of Love,0
Barbara Dex,Crazy,0
Base Ball Bare,Stand By Me,0
Base Unique,Always On My Mind,0
Bashy,Fantasy,0
Basshunter & DJ Mental Theo's Bazzheadz,Now You're Gone,0
Basshunter,All I Ever Wanted,0
Basshunter,I Miss You,0
Basshunter,Please Don't Go,0
Bastille,Pompeii,1
Bat For Lashes,Laura,0
Battle,Children,0
Beam & Cyrus,U Can't Touch This,0
Beanie Sigel,Don't Stop,0
Beat Crusaders,I Can See Clearly Now,0
Beat Up,Alright,0
Beats & Styles,Dynamite,0
Beautiful Girls,Music,0
Becky G,Shower,1
Beck,Cellphone's Dead,0
Beck,Chemtrails / Vampire Voltage No. 6,0
Beck,E-Pro,0
Beck,Everybody's Got to Learn Sometime,0
Beck,Gamma Ray,0
Beck,Girl,0
Beck,Harry Partch,0
Beck,Hell Yes,0
Beck,Lost Cause,0
Beck,Nausea,0
Beck,Orphans,0
Beck,Timebomb,0
Beck,Youthless / Half & Half,0
Bee Gees,This is Where I Came In,0
Beenie Man & Akon,Girls,0
Before Four,I'll Be There,0
beFour,How Do You Do!,0
Begin,Moon River,0
Bela B & Charlotte Roche,1/2/2003,0
Belle Perez,Everything,0
Ben Adams,Sorry,0
Ben Westbeech,Dance With Me,0
"Benny Benassi, Kelis & Apl De Ap",Spaceship,0
Bertine Zetlitz,A Girl Like You,0
bertolf,Another Day,0
Beverley Knight,Gold,0
Beyonce & Jay-Z,Ballad of Bonnie & Clyde,0
Beyonce & Jay-Z,Deja Vu,0
Beyonce & Jay-Z,Drunk in Love,0
Beyonce & Jay-Z,Part II (On The Run),0
Beyonce & Luther Vandross,The Closer I Get To You,0
Beyonce & Shakira,Beautiful Liar,0
Beyonce & Stevie Wonder,So Amazing,0
"Beyonce, Missy 'Misdemeanor' Elliott & MC Lyte",Fighting Temptation,0
Beyonce,1+1,0
Beyonce,At Last,0
Beyonce,Baby Boy,0
Beyonce,Best Thing I Never Had,0
Beyonce,Broken-Hearted Girl,0
Beyonce,Check On It,0
Beyonce,Countdown,0
Beyonce,Crazy in Love,0
Beyonce,Dance For You,0
Beyonce,Dangerously In Love,0
Beyonce,Diva,0
Beyonce,Ego,0
Beyonce,End Of Time,0
Beyonce,Get Me Bodied,0
Beyonce,Green Light,0
Beyonce,Halo,0
Beyonce,If I Were a Boy,0
Beyonce,In Da Club,0
Beyonce,Irreemplazable,0
Beyonce,Irreplaceable,0
Beyonce,Listen,0
Beyonce,Love On Top,0
Beyonce,"Me, Myself & I",0
Beyonce,Naughty Girl,0
Beyonce,Once in a Lifetime,0
Beyonce,Partition,1
Beyonce,Party,0
Beyonce,Radio,0
Beyonce,Ring the Alarm,0
Beyonce,Run The World (Girls),0
Beyonce,Single Ladies (Put A Ring On It),0
Beyonce,Summertime,0
Beyonce,Sweet Dreams,0
Beyonce,Upgrade U,0
Beyonce,Video Phone,0
Beyonce,What's It Gonna Be Boy,0
Beyonce,Why Don't You Love Me,0
Beyonce,Work it Out,0
Beyonce,XO,1
Big Brovaz,Nu Flow,0
Big Sean,High,0
Big Time Rush & Snoop Dogg,Boyfriend,0
Bigfella & Noel McCalla,Beautiful,0
Billy Idol,Don't You (Forget About Me),0
Billy Joel,All My Life,0
Bjork & Thom Yorke,Nattura,0
Bjork,Cocoon,0
Bjork,Crystalline,0
Bjork,Declare Independence,0
Bjork,Earth Intruders,0
Bjork,Hidden Place,0
Bjork,It's in Our Hands,0
Bjork,New World,0
Bjork,Oceania,0
Bjork,Pagan Poetry,0
Bjork,Triumph of a Heart,0
Bjork,Wanderlust,0
Bjork,Who is It,0
BK,Revolution,0
Black Rebel Motorcycle Club,Stop,0
Blake Shelton,Home,0
Blank & Jones,Desire,0
Blaze,Breathe,0
Blazin' Squad,All Night Long,0
blink-182,After Midnight,0
blink-182,Always,0
blink-182,Down,0
blink-182,Feeling This,0
blink-182,First Date,0
blink-182,I Miss You,0
blink-182,I Won't Be Home for Christmas,0
blink-182,Not Now,0
blink-182,Stay Together for the Kids,0
blink-182,The Rock Show,0
blink-182,Up All Night,0
Blondie & The Doors,Rapture Riders,0
Blondie,Good Boys,0
Blu Cantrell,Breathe,0
Blu Cantrell,Hit 'Em Up Style (Oops!),0
Blue & Elton John,Sorry Seems to Be the Hardest Word,0
Blue & Stevie Wonder,"Signed, Sealed, Delivered, I'm Yours",0
Blue Cafe,Baby Baby,0
Blue Lagoon,Do You Really Want to Hurt Me?,0
Blue Lagoon,Heartbreaker,0
Blue,All Rise,0
Blue,Breathe Easy,0
Blue,Bubblin',0
Blue,Curtain Falls,0
Blue,Fly By II,0
Blue,Get Down On It,0
Blue,Guilty,0
Blue,I Can,0
Blue,If You Come Back,0
Blue,One Love,0
Blue,Only words I know,0
Blue,The Gift,0
Blue,Too Close,0
Blue,U Make Me Wanna,0
Blur,Crazy Beat,0
Blur,Fool's Day,0
Blur,Good Song,0
Blur,Out of Time,0
Blur,Under the Westway,0
Blutengel,Forever,0
Bo & Monica,Gonna Be A Star,0
Bo & Monica,Please Please Sa..,0
Bo Bice,The Real Thing,0
Boa,The Loco-Motion,0
BoB & Bruno Mars,Nothin' on You,0
BoB & Hayley Williams,Airplanes,0
BoB & Lil' Wayne,Strange Clouds,0
BoB & Rivers Cuomo,Magic,0
BoB & Taylor Swift,Both Of Us,0
Bob Dylan,Beyond Here Lies Nothin',0
Bob Dylan,Dreaming of You,0
Bob Dylan,Must Be Santa / 'Twas the Night Before Christmas,0
Bob Dylan,Must Be Santa,0
Bob Dylan,Sugar baby,0
Bob Dylan,Summer Days,0
Bob Marley,Africa Unite,0
Bob Marley,I Know a Place,0
Bob Marley,Slogans,0
Bob Marley,Stand Up Jamrock,0
Bob Marley,Sun is Shining,0
Bob Sinclair & Steve Edwards,Together,0
Bob Sinclair & Steve Edwards,World Hold On (Children Of The Sky),0
"Bob Sinclar, Goleo VI & Gary 'Nesta' Pine",Love Generation,0
Bob The Builder,Mambo No 5 (A Little Bit of ...),0
Bobby Kray,Crazy,0
Bobby Valentino,Slow Down,0
Bobby Valentino,Tell Me,0
BoB,So Good,0
Bon Jovi,(You Want To) make A Memory,0
Bon Jovi,All About Lovin' You,0
Bon Jovi,Bounce,0
Bon Jovi,Everyday,0
Bon Jovi,Have a Nice Day,0
Bon Jovi,It's My Life 2003,0
Bon Jovi,Lost Highway,0
Bon Jovi,Misunderstood,0
Bon Jovi,Not Running Anymore,0
Bon Jovi,One Wild Night,0
Bon Jovi,The Radio Saved My Life Tonight,0
Bon Jovi,We Weren't Born To Follow,0
Bon Jovi,Welcome to Wherever You Are,0
Bon Jovi,Who Says You Can't Go Home,0
Bon Jovi,Whole Lot Of Leavin',0
Bone Thugs-n-Harmony,Home,0
Boney M,Daddy Cool 2001,0
Boney M,Mary's Boy Child/Oh My Lord (rerelease),0
Bonnie Pink,Thinking of You,0
Bono & Chris Martin,What's Going On?,0
Boogie Pimps,Somebody to Love,0
Boogie Pimps,Sunny,0
Boom!,Falling,0
Booty Luv,Shine,0
Born Crain,Tonight,0
Bosson,I Believe,0
Bow Wow,Girlfriend,0
Bowling For Soup,1985,0
Boys Like Girls,Love Drunk,0
Boys Like Girls,The Great Escape,0
Boys Like Girls,Two Is Better Than One,0
Boyz II Men,Just My Imagination (Running Away With Me),0
Boyz II Men,Muzak,0
Boyz II Men,Relax Your Mind,0
Boyz II Men,The Colour of Love,0
Boyz II Men,What You Won't Do For Love,0
Boyzone,Better,0
Boyzone,Gave It All Away,0
Boyzone,I Love You Anyway,0
Boyzone,Love Is A Hurricane,0
Boz Scaggs,Payday,0
Brad Paisley & Dolly Parton,When I Get Where I'm Going,0
BrainStorm,Maybe,0
Brand New Heavies,Boogie,0
